periode_data,instansi_asal_kendaraan,ritasi,tonase
202506,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT (PASAR)	",611,2794.98
202506,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN (PASAR)	",471,1779.28
202506,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR (PASAR)	",574,3734.74
202506,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA (PASAR)	",397,1038.76
202506,"PENGELOLAAN KAWASAN MANDIRI",1244,5559.66
202506,"UPS BADAN AIR",710,7057.48
202507,"DINAS PERTAMANAN DAN HUTAN KOTA",209,851.84
202507,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT	",6384,43301.58
202507,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT	",5046,22706.42
202507,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN	",7576,50756.24
202507,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR	",8830,49607.46
202507,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA	",6201,34435.44
202507,"SUKU DINAS LINGKUNGAN HIDUP KABUPATEN ADMINISTRASI KEPULAUAN SERIBU	",83,572.14
202507,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT (PASAR)	",617,3654.72
202507,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT (PASAR)	",668,3084.56
202507,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN (PASAR)	",469,1739.8
202507,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR (PASAR)	",592,4275.84
202507,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA (PASAR)	",404,1160.7
202507,"PENGELOLAAN KAWASAN MANDIRI",1186,5441.04
202507,"UPS BADAN AIR",760,7612.1
202508,"DINAS PERTAMANAN DAN HUTAN KOTA",180,683.64
202508,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT",6371,42860.17
202508,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT",4959,22104.96
202508,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN",7371,49726.1
202508,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR",8621,48566.62
202508,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA",6106,33080.14
202508,"SUKU DINAS LINGKUNGAN HIDUP KABUPATEN ADMINISTRASI KEPULAUAN SERIBU	",88,658.44
202508,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT (PASAR)",609,3521.84
202508,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT (PASAR)",593,2664.18
202508,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN (PASAR)",473,1773.78
202508,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR (PASAR)",528,3602.12
202508,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA (PASAR)",402,1124.22
202508,"PENGELOLAAN KAWASAN MANDIRI",1167,4945.88
202508,"UPS BADAN AIR",700,7286.74
202509,"DINAS PERTAMANAN DAN HUTAN KOTA",184.0,643.06
202509,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT",6216.0,40191.4
202509,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT",4829.0,20208.04
202509,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN",7242.0,47968.57
202509,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR",8280.0,44834.46
202509,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA",5637.0,28365.24
202509,"SUKU DINAS LINGKUNGAN HIDUP KABUPATEN ADMINISTRASI KEPULAUAN SERIBU",58.0,427.92
202509,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT (PASAR)",594.0,3268.62
202509,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT (PASAR)",642.0,2678.56
202509,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN (PASAR)",485.0,1696.38
202509,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR (PASAR)",618.0,4560.8
202509,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA (PASAR)",391.0,967.4
202509,"PENGELOLAAN KAWASAN MANDIRI",1115.0,4567.02
202509,"UPS BADAN AIR",701.0,7175.6
202510,"DINAS PERTAMANAN DAN HUTAN KOTA",198.0,734.06
202510,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT",6539.0,41225.37
202510,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT",4978.0,20069.46
202510,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN",7346.0,48184.74
202510,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR",8347.0,44527.21
202510,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA",5663.0,27866.74
202510,"SUKU DINAS LINGKUNGAN HIDUP KABUPATEN ADMINISTRASI KEPULAUAN SERIBU        ",84.0,622.84
202510,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT (PASAR)",620.0,3305.38
202510,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT (PASAR)",702.0,2869.38
202510,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN (PASAR)",484.0,1694.5
202510,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR (PASAR)",535.0,3283.86
202510,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA (PASAR)",423.0,1079.64
202510,"PENGELOLAAN KAWASAN MANDIRI",1288.0,5059.52
202510,"UPS BADAN AIR",732.0,7360.75
202511,"DINAS PERTAMANAN DAN HUTAN KOTA",184.0,684.78
202511,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT",6285.0,43106.48
202511,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT",4920.0,21938.18
202511,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN",6962.0,50515.7
202511,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR",8336.0,49765.29
202511,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA",5992.0,33755.82
202511,"SUKU DINAS LINGKUNGAN HIDUP KABUPATEN ADMNISTRASI KEPULAUAN SERIBU",77.0,561.52
202511,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT (PASAR)",548.0,3248.68
202511,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT (PASAR)",663.0,3105.3
202511,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN (PASAR)",440.0,1678.48
202511,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR (PASAR)",535.0,3604.97
202511,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA (PASAR)",374.0,1080.74
202511,"PENGELOLAAN KAWASAN MANDIRI",1116.0,5058.88
202511,"UPS BADAN AIR",1019.0,9454.22
202511,"Refuse-Derived Fuel (RDF) Rorotan",5.0,53
202512,"DINAS PERTAMANAN DAN HUTAN KOTA",147,600.57
202512,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT",6712,44822.12
202512,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT",5095,22799.68
202512,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN",7290,52566.81
202512,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR",8482,51084.98
202512,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA",5959,32624.8
202512,"SUKU DINAS LINGKUNGAN HIDUP KABUPATEN ADMNISTRASI KEPULAUAN SERIBU",103,729.32
202512,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT (PASAR)",577,3197.36
202512,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT (PASAR)",658,3004.1
202512,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN (PASAR)",459,1789.72
202512,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR (PASAR)",546,3372.75
202512,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA (PASAR)",389,1003.66
202512,"PENGELOLAAN KAWASAN MANDIRI",1203,5468.54
202512,"UPS BADAN AIR",744,7972.62
202601,"DINAS PERTAMANAN DAN HUTAN KOTA",131,531
202601,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT",4821,23461.69
202601,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA",5366,32165.6
202601,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT",6437,47399.92
202601,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN",7077,53713.54
202601,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR",7970,51638.24
202601,"SUKU DINAS LINGKUNGAN HIDUP KABUPATEN ADMNISTRASI KEPULAUAN SERIBU",159,1259.24
202601,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT (PASAR)",576,3470.32
202601,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT (PASAR)",634,3162.32
202601,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN (PASAR)",449,1866.44
202601,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR (PASAR)",481,3151.66
202601,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA (PASAR)",365,1008.26
202601,"PENGELOLAAN KAWASAN MANDIRI",1208,5859.26
202601,"UPS BADAN AIR",807,9031.5
202602,"DINAS PERTAMANAN DAN HUTAN KOTA",114,458.84
202602,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT",5929,43326.38
202602,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT",4330,21014.56
202602,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN",6346,48732.6
202602,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR",7268,45677.38
202602,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA",5207,31121.53
202602,"SUKU DINAS LINGKUNGAN HIDUP KABUPATEN ADMNISTRASI KEPULAUAN SERIBU",109,861.84
202602,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT (PASAR)",635,3733.28
202602,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT (PASAR)",723,3696.18
202602,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN (PASAR)",618,2806.18
202602,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR (PASAR)",681,4681.72
202602,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA (PASAR)",343,923.28
202602,"PENGELOLAAN KAWASAN MANDIRI",1277,6268.98
202602,"UPS BADAN AIR",677,7082.76
202603,"DINAS PERTAMANAN DAN HUTAN KOTA",120,430.74
202603,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT",4933,37796.68
202603,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT",3621,19819.94
202603,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN",5579,47174.4
202603,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR",5924,42902.8
202603,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA",4699,27970.88
202603,"SUKU DINAS LINGKUNGAN HIDUP KABUPATEN ADMNISTRASI KEPULAUAN SERIBU",96,812.12
202603,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT (PASAR)",466,2852.62
202603,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT (PASAR)",511,2754.34
202603,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN (PASAR)",434,2055.78
202603,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR (PASAR)",367,2238.78
202603,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA (PASAR)",250,677.06
202603,"PENGELOLAAN KAWASAN MANDIRI",1166,5055.9
202603,"UPS BADAN AIR",720,7175.25
202604,"DINAS PERTAMANAN DAN HUTAN KOTA",160,640.2
202604,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT",4991,41108.98
202604,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT",2915,18104.9
202604,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN",5317,49051.78
202604,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR",5577,45040.94
202604,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA",4950,27212.97
202604,"SUKU DINAS LINGKUNGAN HIDUP KABUPATEN ADMNISTRASI KEPULAUAN SERIBU",135,1008.58
202604,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA BARAT (PASAR)",439,3008.56
202604,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA PUSAT (PASAR)",578,3846.46
202604,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA SELATAN (PASAR)",332,2073.34
202604,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR (PASAR)",661,7660.26
202604,"SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA UTARA (PASAR)",348,882.1
202604,"PENGELOLAAN KAWASAN MANDIRI",1576,6233.04
202604,"UPS BADAN AIR",829,7962.8
