periode_data,wilayah,unit_kerja_pengelola,jenis_kendaraan,jumlah_kendaraan
2024,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA PUSAT	","GEROBAK MOTOR",84
2024,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA	","ARM ROLL BESAR	",23
2024,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA	","ARM ROLL KECIL	",28
2024,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA	","COMPACTOR BESAR	",37
2024,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA	","COMPACTOR KECIL	",17
2024,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA	","DUMP TRUCK BESAR	",107
2024,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA	","DUMP TRUCK KECIL	",93
2024,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA	",TRONTON,5
2024,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA	","GEROBAK MOTOR",285
2024,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT	","ARM ROLL BESAR	",23
2024,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT	","ARM ROLL KECIL	",38
2024,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT	","COMPACTOR BESAR	",38
2024,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT	","COMPACTOR KECIL	",20
2024,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT	","DUMP TRUCK BESAR	",106
2024,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT	","DUMP TRUCK KECIL	",97
2024,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT	",TRONTON,5
2024,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT	","GEROBAK MOTOR",555
2024,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN SELATAN	","ARM ROLL BESAR	",25
2024,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN SELATAN	","ARM ROLL KECIL	",33
2024,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN SELATAN	","COMPACTOR BESAR	",45
2024,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN SELATAN	","COMPACTOR KECIL	",20
2024,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN SELATAN	","DUMP TRUCK BESAR	",116
2024,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN SELATAN	","DUMP TRUCK KECIL	",86
2024,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN SELATAN	",TRONTON,8
2024,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN SELATAN	","GEROBAK MOTOR",776
2024,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR SELATAN	","ARM ROLL BESAR	",36
2024,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR SELATAN	","ARM ROLL KECIL	",46
2024,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR SELATAN	","COMPACTOR BESAR	",44
2024,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR SELATAN	","COMPACTOR KECIL	",23
2024,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR SELATAN	","DUMP TRUCK BESAR	",138
2024,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR SELATAN	","DUMP TRUCK KECIL	",99
2024,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR SELATAN	",TRONTON,9
2024,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR SELATAN	","GEROBAK MOTOR",286
2024,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEP. SERIBU","COMPACTOR BESAR	",1
2024,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEP. SERIBU","COMPACTOR KECIL	",1
2024,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEP. SERIBU","DUMP TRUCK BESAR	",5
2024,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEP. SERIBU","DUMP TRUCK KECIL	",1
2025,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEPULAUAN SERIBU","TRUK ARM ROLL BESAR",0
2025,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEPULAUAN SERIBU","TRUK ARM ROLL KECIL",0
2025,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEPULAUAN SERIBU","TRUK COMPACTOR BESAR",1
2025,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEPULAUAN SERIBU","TRUK COMPACTOR KECIL",1
2025,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEPULAUAN SERIBU","TRUK COMPACTOR LISTRIK BESAR",0
2025,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEPULAUAN SERIBU","TRUK COMPACTOR LISTRIK KECIL",0
2025,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEPULAUAN SERIBU","TRUK DUMP TRUK BESAR",5
2025,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEPULAUAN SERIBU","TRUK DUMP TRUK KECIL",1
2025,"KAB. ADM. KEP. SERIBU","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEPULAUAN SERIBU","TRUK TRONTON",0
2025,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KAB. ADM. KEPULAUAN SERIBU","TRUK ARM ROLL BESAR",23
2025,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","TRUK ARM ROLL KECIL",40
2025,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","TRUK COMPACTOR BESAR",36
2025,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","TRUK COMPACTOR KECIL",20
2025,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","TRUK COMPACTOR LISTRIK BESAR",0
2025,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","TRUK COMPACTOR LISTRIK KECIL",0
2025,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","TRUK DUMP TRUK BESAR",108
2025,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","TRUK DUMP TRUK KECIL",96
2025,"KOTA ADM. JAKARTA BARAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA BARAT","TRUK TRONTON",5
2025,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA PUSAT","TRUK ARM ROLL BESAR",23
2025,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA PUSAT","TRUK ARM ROLL KECIL",32
2025,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA PUSAT","TRUK COMPACTOR BESAR",47
2025,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA PUSAT","TRUK COMPACTOR KECIL",18
2025,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA PUSAT","TRUK COMPACTOR LISTRIK BESAR",0
2025,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA PUSAT","TRUK COMPACTOR LISTRIK KECIL",0
2025,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA PUSAT","TRUK DUMP TRUK BESAR",73
2025,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA PUSAT","TRUK DUMP TRUK KECIL",67
2025,"KOTA ADM. JAKARTA PUSAT","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA PUSAT","TRUK TRONTON",0
2025,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","TRUK ARM ROLL BESAR",26
2025,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","TRUK ARM ROLL KECIL",35
2025,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","TRUK COMPACTOR BESAR",27
2025,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","TRUK COMPACTOR KECIL",16
2025,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","TRUK COMPACTOR LISTRIK BESAR",0
2025,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","TRUK COMPACTOR LISTRIK KECIL",0
2025,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","TRUK DUMP TRUK BESAR",133
2025,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","TRUK DUMP TRUK KECIL",90
2025,"KOTA ADM. JAKARTA SELATAN","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA SELATAN","TRUK TRONTON",8
2025,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","TRUK ARM ROLL BESAR",34
2025,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","TRUK ARM ROLL KECIL",44
2025,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","TRUK COMPACTOR BESAR",72
2025,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","TRUK COMPACTOR KECIL",33
2025,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","TRUK COMPACTOR LISTRIK BESAR",0
2025,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","TRUK COMPACTOR LISTRIK KECIL",0
2025,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","TRUK DUMP TRUK BESAR",131
2025,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","TRUK DUMP TRUK KECIL",100
2025,"KOTA ADM. JAKARTA TIMUR","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA TIMUR","TRUK TRONTON",8
2025,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","TRUK ARM ROLL BESAR",24
2025,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","TRUK ARM ROLL KECIL",30
2025,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","TRUK COMPACTOR BESAR",88
2025,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","TRUK COMPACTOR KECIL",23
2025,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","TRUK COMPACTOR LISTRIK BESAR",0
2025,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","TRUK COMPACTOR LISTRIK KECIL",5
2025,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","TRUK DUMP TRUK BESAR",83
2025,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","TRUK DUMP TRUK KECIL",89
2025,"KOTA ADM. JAKARTA UTARA","SUKU DINAS LINGKUNGAN HIDUP KOTA ADM. JAKARTA UTARA","TRUK TRONTON",5
